label,kind,outcome,start_ms,duration_ms
STORM-CAP-0,CAPTURE,PAYMENT_FAILED,0,4014
STORM-CAP-2,CAPTURE,LOCK_TIMEOUT,533,5050
STORM-CAP-3,CAPTURE,LOCK_TIMEOUT,1038,5551
STORM-CAP-4,CAPTURE,LOCK_TIMEOUT,1543,5045
STORM-CAP-1,CAPTURE,SUCCESS,28,7018
STORM-CAP-6,CAPTURE,LOCK_TIMEOUT,2548,5504
STORM-CAP-8,CAPTURE,LOCK_TIMEOUT,3556,5499
STORM-CAP-7,CAPTURE,LOCK_TIMEOUT,3052,6003
STORM-CAP-10,CAPTURE,LOCK_TIMEOUT,4565,5495
STORM-CAP-9,CAPTURE,LOCK_TIMEOUT,4060,6000
STORM-CAP-5,CAPTURE,SUCCESS,2045,8025
